SEASON,TEAM_NAME,TEAM_ID,Wins,ORTG,DRTG,eFG_Percent,TS_Percent,TOV_Percent,FG3_Percent,FG_Percent,Team_3s_Attempted,Team_2s_Attempted,Weighted_Avg_Height_x,Weighted_Avg_Wingspan_x,Weighted_Avg_Height_y,Weighted_Avg_Wingspan_y
2022-23,Atlanta Hawks,1610612737,41,115.5,115.4,0.541,0.579,0.126,0.352,0.483,2505,5069,77.81965950680048,82.939435591433,77.81965950680048,82.939435591433
2022-23,Boston Celtics,1610612738,57,117.3,110.6,0.566,0.6,0.133,0.377,0.475,3492,3786,77.80613106150446,82.59354914573693,77.80613106150446,82.59354914573693
2022-23,Brooklyn Nets,1610612751,45,114.6,113.5,0.562,0.598,0.139,0.378,0.487,2771,4207,77.79420092341802,82.00360903320059,77.79420092341802,82.00360903320059
2022-23,Charlotte Hornets,1610612766,27,108.4,114.7,0.516,0.551,0.139,0.33,0.457,2669,4744,77.53689129019119,82.59585946614372,77.53689129019119,82.59585946614372
2022-23,Chicago Bulls,1610612741,40,112.8,111.5,0.55,0.587,0.133,0.361,0.49,2367,4749,77.43110919694766,82.12759088472208,77.43110919694766,82.12759088472208
2022-23,Cleveland Cavaliers,1610612739,51,115.5,109.9,0.556,0.59,0.137,0.367,0.488,2589,4395,77.8937425042378,83.08036526935163,77.8937425042378,83.08036526935163
2022-23,Dallas Mavericks,1610612742,38,115.9,116.1,0.565,0.599,0.124,0.371,0.475,3362,3547,77.9072956588368,81.88000066211603,77.9072956588368,81.88000066211603
2022-23,Denver Nuggets,1610612743,53,116.8,113.5,0.573,0.601,0.147,0.379,0.504,2559,4529,78.59755507446152,83.14808818034115,78.59755507446152,83.14808818034115
2022-23,Detroit Pistons,1610612765,17,109.9,117.8,0.52,0.561,0.15,0.351,0.454,2659,4481,78.13026962268017,83.1531815478522,78.13026962268017,83.1531815478522
2022-23,Golden State Warriors,1610612744,44,115.1,113.4,0.571,0.6,0.158,0.385,0.479,3540,3853,77.04367050110024,81.39803743822048,77.04367050110024,81.39803743822048
2022-23,Houston Rockets,1610612745,22,110.5,118.6,0.516,0.554,0.162,0.327,0.457,2619,4668,78.89274939337542,82.57310079391256,78.89274939337542,82.57310079391256
2022-23,Indiana Pacers,1610612754,35,113.8,117.1,0.545,0.581,0.146,0.367,0.469,3030,4315,77.32041053139173,81.43785236873147,77.32041053139173,81.43785236873147
2022-23,LA Clippers,1610612746,44,114.0,113.6,0.551,0.588,0.143,0.381,0.477,2734,4326,78.27037031465257,83.06703572215389,78.27037031465257,83.06703572215389
2022-23,Los Angeles Lakers,1610612747,43,113.9,113.2,0.542,0.582,0.137,0.346,0.482,2558,4740,77.69629967797444,83.135789881761,77.69629967797444,83.135789881761
2022-23,Memphis Grizzlies,1610612763,51,114.7,110.7,0.54,0.57,0.133,0.351,0.475,2807,4744,77.84605601852192,81.0229148942549,77.84605601852192,81.0229148942549
2022-23,Miami Heat,1610612748,44,112.3,112.8,0.53,0.574,0.138,0.344,0.46,2852,4139,77.26763451193517,80.70466720545164,77.26763451193517,80.70466720545164
2022-23,Milwaukee Bucks,1610612749,58,114.3,110.9,0.555,0.583,0.143,0.368,0.473,3306,4105,78.21712241365414,82.66313866927315,78.21712241365414,82.66313866927315
2022-23,Minnesota Timberwolves,1610612750,42,113.3,113.1,0.56,0.592,0.15,0.365,0.49,2731,4436,78.31431252693979,84.03407938210064,78.31431252693979,84.03407938210064
2022-23,New Orleans Pelicans,1610612740,42,113.8,112.0,0.543,0.582,0.145,0.364,0.48,2468,4712,77.85326633295202,83.13050436080314,77.85326633295202,83.13050436080314
2022-23,New York Knicks,1610612752,47,117.0,114.2,0.541,0.577,0.131,0.354,0.47,2930,4398,77.04301790411004,81.5114572073406,77.04301790411004,81.5114572073406
2022-23,Oklahoma City Thunder,1610612760,40,114.2,113.2,0.531,0.57,0.127,0.356,0.465,2797,4793,77.64496090332763,81.83105187834012,77.64496090332763,81.83105187834012
2022-23,Orlando Magic,1610612753,34,111.3,113.7,0.532,0.573,0.151,0.346,0.47,2551,4523,79.17024391660733,83.23525704711977,79.17024391660733,83.23525704711977
2022-23,Philadelphia 76ers,1610612755,54,117.0,112.7,0.563,0.608,0.139,0.387,0.487,2675,4195,77.81631434593777,83.15741996817577,77.81631434593777,83.15741996817577
2022-23,Phoenix Suns,1610612756,45,114.5,112.3,0.535,0.57,0.136,0.374,0.467,2674,4714,77.63429239251948,83.1738695995235,77.63429239251948,83.1738695995235
2022-23,Portland Trail Blazers,1610612757,33,114.0,118.0,0.549,0.589,0.145,0.365,0.474,2893,4108,77.54064017946699,83.55487397634734,77.54064017946699,83.55487397634734
2022-23,Sacramento Kings,1610612758,48,118.6,116.0,0.572,0.608,0.133,0.369,0.494,3060,4172,78.06381856796477,81.25700992441907,78.06381856796477,81.25700992441907
2022-23,San Antonio Spurs,1610612759,22,109.7,119.6,0.525,0.554,0.148,0.345,0.465,2640,4953,77.40310669690803,82.0880562296945,77.40310669690803,82.0880562296945
2022-23,Toronto Raptors,1610612761,41,114.6,113.1,0.517,0.555,0.118,0.335,0.459,2626,4863,78.4176064282901,83.93051429441846,78.4176064282901,83.93051429441846
2022-23,Utah Jazz,1610612762,37,115.3,116.0,0.547,0.584,0.151,0.353,0.473,3099,4266,79.14160834602708,83.1844760389829,79.14160834602708,83.1844760389829
2022-23,Washington Wizards,1610612764,35,113.7,114.9,0.55,0.585,0.142,0.356,0.485,2601,4526,79.18792966989982,81.46310905787848,79.18792966989982,81.46310905787848
